Serial No,GRE Score        ,Toefl Score ,Ielts Score,Department,CGPA,Research,Project,Work Experience ,University Ranking,University rating
1,299,105,7.5,cse,3.74,0,1,3,250,2
2,303,98,7,cse,3.68,0,0,0,250,2
3,300,98,7,cse,3.68,0,0,1,250,2
4,310,98,7,cse,3.78,1,1,2,133,3
5,306,98,7,cse,3,0,3,1,133,3
6,311,85,6.5,cse,3.36,0,0,0,133,3
7,306,101,7.5,cse,3.78,0,3,4,115,3
8,308,108,7.5,cse,3.84,0,8,1,115,3
9,309,106,7.5,cse,3.74,0,3,3,115,3
10,305,100,7,cse,3.68,1,0,0.6,299,2
11,301,85,6.5,cse,3.42,0,2,3.5,299,2
12,300,85,6.5,cse,3.3,0,0,1.8,299,2
13,295,85,7,cse,3.71,0,0,4,115,3
14,314,103,7.5,cse,3.81,0,0,1,115,3
15,304,112,8,cse,3.3,0,1,2,115,3
16,310,105,7.5,cse,3.78,0,2,0.2,115,3
17,321,99,7,cse,3.33,0,0,3.5,115,3
18,306,98,7,cse,3.14,0,0,0,219,2
19,306,105,7.5,cse,3.6,0,0,3.5,219,2
20,305,88,6.5,cse,3.48,0,0,0,219,2
21,306,95,6.5,cse,2,0,0,5,219,2
22,329,105,7.5,cse,3,0,0,0,98,4
23,313,107,7.5,cse,3.25,0,1,2.2,98,4
24,323,85,6.5,cse,3.2,0,0,2,98,4
25,311,97,7.5,cse,3.65,0,0,1.6,98,4
26,322,98,7,cse,3.36,0,2,0,98,4
27,303,94,7,cse,3.2,0,2,2.5,178,3
28,301,112,8,cse,3.74,0,2,0.3,178,3
29,315,90,6..5,cse,3.39,0,0,0,178,3
30,297,105,7.5,cse,3.34,0,0,1,178,3
31,308,112,8,cse,3.73,0,0,0,178,3
32,306,97,7,cse,3.36,0,0,0,178,3
33,320,92,6.5,civil,3.02,0,0,0,124,3
34,325,85,6.5,cse,3.66,0,0,0,124,3
35,317,98,7,cse,3.04,0,0,0,124,3
36,320,98,7,civil,3.68,0,0,2.5,124,3
37,321,105,7.5,cse,3.12,0,0,0,124,3
38,319,112,8,cse,3.14,0,0,0.5,124,3
39,315,90,6.5,cse,3.1,0,0,0,124,3
40,292,97,7,civil,3.26,0,0,0,124,3
41,318,99,7,cse,3.68,0,3,0,89,4
42,309,98,7,cse,3.55,0,6,0.7,89,4
43,319,97,7,cse,3.2,0,0,1.8,89,4
44,332,83,6.5,cse,3.18,0,1,0,89,4
45,323,115,8.5,cse,3.82,0,0,0,89,4
46,324,107,7.5,civil,3.21,0,1,4.5,185,3
47,304,105,7.5,cse,3.36,0,3,2.5,185,3
48,310,98,7,civil,3.41,0,0,0,185,3
49,316,85,6.5,civil,3.68,0,0,0,185,3
50,317,105,7.5,civil,2.98,0,0,1.2,185,3
51,311,112,8,cse,3.62,2,3,2,105,3
52,320,105,7.5,cse,3.66,3,1,4.5,105,3
53,305,105,7.5,cse,3.58,1,5,1.8,105,3
54,316,85,6.5,cse,3.36,0,0,0,105,3
55,325,85,6.5,cse,3.53,0,0,0,105,3
56,324,99,7,cse,3.14,0,0,0,105,3
57,319,85,6.5,eee,3.33,0,2,0.5,105,3
